, ,Number of genomes,gene_class
343,Cluster 343,1,accessory
344,Cluster 344,1,accessory
345,Cluster 345,1,accessory
346,Cluster 346,1,accessory
347,Cluster 347,1,accessory
348,Cluster 348,1,accessory
349,Cluster 349,1,accessory
350,Cluster 350,1,accessory
351,Cluster 351,1,accessory
352,Cluster 352,1,accessory
353,Cluster 353,1,accessory
354,Cluster 354,1,accessory
355,Cluster 355,1,accessory
356,Cluster 356,1,accessory
357,Cluster 357,1,accessory
358,Cluster 358,1,accessory
359,Cluster 359,1,accessory
360,Cluster 360,1,accessory
361,Cluster 361,1,accessory
362,Cluster 362,1,accessory
363,Cluster 363,1,accessory
364,Cluster 364,1,accessory
365,Cluster 365,1,accessory
366,Cluster 366,1,accessory
367,Cluster 367,1,accessory
368,Cluster 368,1,accessory
369,Cluster 369,1,accessory
370,Cluster 370,1,accessory
371,Cluster 371,1,accessory
372,Cluster 372,1,accessory
373,Cluster 373,1,accessory
374,Cluster 374,2,accessory
375,Cluster 375,1,accessory
376,Cluster 376,1,accessory
377,Cluster 377,1,accessory
378,Cluster 378,1,accessory
379,Cluster 379,1,accessory
380,Cluster 380,1,accessory
381,Cluster 381,1,accessory
382,Cluster 382,1,accessory
383,Cluster 383,1,accessory
384,Cluster 384,1,accessory
385,Cluster 385,1,accessory
386,Cluster 386,1,accessory
387,Cluster 387,1,accessory
388,Cluster 388,1,accessory
389,Cluster 389,1,accessory
390,Cluster 390,1,accessory
391,Cluster 391,1,accessory
392,Cluster 392,1,accessory
393,Cluster 393,1,accessory
394,Cluster 394,1,accessory
395,Cluster 395,1,accessory
396,Cluster 396,1,accessory
397,Cluster 397,1,accessory
398,Cluster 398,1,accessory
399,Cluster 399,1,accessory
400,Cluster 400,1,accessory
401,Cluster 401,1,accessory
402,Cluster 402,1,accessory
403,Cluster 403,1,accessory
404,Cluster 404,1,accessory
405,Cluster 405,1,accessory
406,Cluster 406,1,accessory
407,Cluster 407,1,accessory
408,Cluster 408,1,accessory
409,Cluster 409,1,accessory
410,Cluster 410,1,accessory
411,Cluster 411,1,accessory
412,Cluster 412,1,accessory
413,Cluster 413,1,accessory
414,Cluster 414,2,accessory
415,Cluster 415,1,accessory
416,Cluster 416,1,accessory
417,Cluster 417,1,accessory
418,Cluster 418,1,accessory
419,Cluster 419,1,accessory
420,Cluster 420,1,accessory
421,Cluster 421,1,accessory
422,Cluster 422,1,accessory
423,Cluster 423,1,accessory
424,Cluster 424,2,accessory
425,Cluster 425,1,accessory
426,Cluster 426,1,accessory
427,Cluster 427,2,accessory
428,Cluster 428,1,accessory
429,Cluster 429,1,accessory
430,Cluster 430,1,accessory
431,Cluster 431,1,accessory
432,Cluster 432,1,accessory
433,Cluster 433,1,accessory
434,Cluster 434,1,accessory
435,Cluster 435,1,accessory
436,Cluster 436,1,accessory
437,Cluster 437,1,accessory
438,Cluster 438,1,accessory
439,Cluster 439,1,accessory
440,Cluster 440,1,accessory
441,Cluster 441,1,accessory
442,Cluster 442,1,accessory
443,Cluster 443,1,accessory
444,Cluster 444,1,accessory
445,Cluster 445,1,accessory
446,Cluster 446,1,accessory
447,Cluster 447,1,accessory
448,Cluster 448,1,accessory
449,Cluster 449,1,accessory
450,Cluster 450,1,accessory
451,Cluster 451,1,accessory
452,Cluster 452,1,accessory
453,Cluster 453,1,accessory
454,Cluster 454,1,accessory
455,Cluster 455,1,accessory
456,Cluster 456,1,accessory
457,Cluster 457,1,accessory
458,Cluster 458,1,accessory
459,Cluster 459,1,accessory
460,Cluster 460,1,accessory
461,Cluster 461,1,accessory
462,Cluster 462,1,accessory
463,Cluster 463,1,accessory
464,Cluster 464,1,accessory
465,Cluster 465,1,accessory
466,Cluster 466,1,accessory
467,Cluster 467,1,accessory
468,Cluster 468,1,accessory
469,Cluster 469,1,accessory
470,Cluster 470,1,accessory
471,Cluster 471,1,accessory
472,Cluster 472,1,accessory
473,Cluster 473,1,accessory
474,Cluster 474,1,accessory
475,Cluster 475,1,accessory
476,Cluster 476,1,accessory
477,Cluster 477,1,accessory
478,Cluster 478,1,accessory
479,Cluster 479,1,accessory
480,Cluster 480,1,accessory
481,Cluster 481,1,accessory
482,Cluster 482,1,accessory
483,Cluster 483,1,accessory
484,Cluster 484,1,accessory
485,Cluster 485,1,accessory
486,Cluster 486,1,accessory
487,Cluster 487,1,accessory
488,Cluster 488,1,accessory
489,Cluster 489,1,accessory
490,Cluster 490,1,accessory
491,Cluster 491,1,accessory
492,Cluster 492,1,accessory
493,Cluster 493,1,accessory
494,Cluster 494,1,accessory
495,Cluster 495,1,accessory
496,Cluster 496,1,accessory
497,Cluster 497,1,accessory
498,Cluster 498,1,accessory
499,Cluster 499,1,accessory
500,Cluster 500,1,accessory
501,Cluster 501,1,accessory
502,Cluster 502,1,accessory
503,Cluster 503,1,accessory
504,Cluster 504,1,accessory
505,Cluster 505,1,accessory
506,Cluster 506,1,accessory
507,Cluster 507,1,accessory
508,Cluster 508,1,accessory
509,Cluster 509,1,accessory
510,Cluster 510,1,accessory
511,Cluster 511,1,accessory
512,Cluster 512,1,accessory
513,Cluster 513,1,accessory
514,Cluster 514,1,accessory
515,Cluster 515,1,accessory
516,Cluster 516,1,accessory
517,Cluster 517,1,accessory
518,Cluster 518,1,accessory
519,Cluster 519,1,accessory
520,Cluster 520,1,accessory
521,Cluster 521,1,accessory
522,Cluster 522,1,accessory
523,Cluster 523,1,accessory
524,Cluster 524,1,accessory
525,Cluster 525,1,accessory
526,Cluster 526,1,accessory
527,Cluster 527,1,accessory
528,Cluster 528,1,accessory
529,Cluster 529,1,accessory
530,Cluster 530,1,accessory
531,Cluster 531,1,accessory
532,Cluster 532,1,accessory
533,Cluster 533,1,accessory
534,Cluster 534,1,accessory
535,Cluster 535,1,accessory
536,Cluster 536,2,accessory
537,Cluster 537,1,accessory
538,Cluster 538,1,accessory
539,Cluster 539,1,accessory
540,Cluster 540,1,accessory
541,Cluster 541,1,accessory
542,Cluster 542,1,accessory
543,Cluster 543,1,accessory
544,Cluster 544,1,accessory
545,Cluster 545,1,accessory
546,Cluster 546,1,accessory
547,Cluster 547,1,accessory
548,Cluster 548,1,accessory
549,Cluster 549,1,accessory
550,Cluster 550,1,accessory
551,Cluster 551,1,accessory
552,Cluster 552,1,accessory
553,Cluster 553,1,accessory
554,Cluster 554,1,accessory
555,Cluster 555,1,accessory
556,Cluster 556,1,accessory
557,Cluster 557,1,accessory
558,Cluster 558,1,accessory
559,Cluster 559,1,accessory
560,Cluster 560,1,accessory
561,Cluster 561,1,accessory
562,Cluster 562,1,accessory
563,Cluster 563,1,accessory
564,Cluster 564,1,accessory
565,Cluster 565,1,accessory
566,Cluster 566,1,accessory
567,Cluster 567,1,accessory
568,Cluster 568,1,accessory
569,Cluster 569,1,accessory
570,Cluster 570,1,accessory
571,Cluster 571,1,accessory
572,Cluster 572,1,accessory
573,Cluster 573,1,accessory
574,Cluster 574,1,accessory
575,Cluster 575,1,accessory
576,Cluster 576,1,accessory
577,Cluster 577,1,accessory
578,Cluster 578,1,accessory
579,Cluster 579,1,accessory
580,Cluster 580,1,accessory
581,Cluster 581,1,accessory
582,Cluster 582,1,accessory
583,Cluster 583,1,accessory
584,Cluster 584,1,accessory
585,Cluster 585,1,accessory
586,Cluster 586,1,accessory
587,Cluster 587,1,accessory
588,Cluster 588,1,accessory
589,Cluster 589,1,accessory
590,Cluster 590,1,accessory
591,Cluster 591,1,accessory
592,Cluster 592,1,accessory
593,Cluster 593,1,accessory
594,Cluster 594,1,accessory
595,Cluster 595,1,accessory
596,Cluster 596,1,accessory
597,Cluster 597,1,accessory
598,Cluster 598,1,accessory
599,Cluster 599,1,accessory
600,Cluster 600,1,accessory
601,Cluster 601,1,accessory
602,Cluster 602,1,accessory
603,Cluster 603,1,accessory
604,Cluster 604,1,accessory
605,Cluster 605,1,accessory
606,Cluster 606,1,accessory
607,Cluster 607,1,accessory
608,Cluster 608,1,accessory
609,Cluster 609,1,accessory
610,Cluster 610,1,accessory
611,Cluster 611,1,accessory
612,Cluster 612,1,accessory
613,Cluster 613,1,accessory
614,Cluster 614,1,accessory
615,Cluster 615,1,accessory
616,Cluster 616,1,accessory
617,Cluster 617,1,accessory
618,Cluster 618,1,accessory
619,Cluster 619,1,accessory
620,Cluster 620,1,accessory
621,Cluster 621,1,accessory
622,Cluster 622,1,accessory
623,Cluster 623,1,accessory
624,Cluster 624,1,accessory
625,Cluster 625,1,accessory
626,Cluster 626,1,accessory
627,Cluster 627,1,accessory
628,Cluster 628,1,accessory
629,Cluster 629,1,accessory
630,Cluster 630,1,accessory
631,Cluster 631,1,accessory
632,Cluster 632,1,accessory
633,Cluster 633,1,accessory
634,Cluster 634,1,accessory
635,Cluster 635,1,accessory
636,Cluster 636,1,accessory
637,Cluster 637,1,accessory
638,Cluster 638,1,accessory
639,Cluster 639,1,accessory
640,Cluster 640,1,accessory
641,Cluster 641,1,accessory
642,Cluster 642,1,accessory
643,Cluster 643,1,accessory
644,Cluster 644,1,accessory
645,Cluster 645,1,accessory
646,Cluster 646,1,accessory
647,Cluster 647,1,accessory
648,Cluster 648,1,accessory
649,Cluster 649,1,accessory
650,Cluster 650,1,accessory
651,Cluster 651,1,accessory
652,Cluster 652,1,accessory
653,Cluster 653,1,accessory
654,Cluster 654,1,accessory
655,Cluster 655,1,accessory
656,Cluster 656,1,accessory
657,Cluster 657,1,accessory
658,Cluster 658,1,accessory
659,Cluster 659,1,accessory
660,Cluster 660,1,accessory
661,Cluster 661,1,accessory
662,Cluster 662,1,accessory
663,Cluster 663,1,accessory
664,Cluster 664,1,accessory
665,Cluster 665,1,accessory
666,Cluster 666,1,accessory
667,Cluster 667,1,accessory
668,Cluster 668,1,accessory
669,Cluster 669,1,accessory
670,Cluster 670,1,accessory
671,Cluster 671,1,accessory
672,Cluster 672,1,accessory
673,Cluster 673,1,accessory
674,Cluster 674,1,accessory
675,Cluster 675,1,accessory
676,Cluster 676,1,accessory
677,Cluster 677,1,accessory
678,Cluster 678,1,accessory
679,Cluster 679,1,accessory
680,Cluster 680,1,accessory
681,Cluster 681,1,accessory
682,Cluster 682,1,accessory
683,Cluster 683,1,accessory
684,Cluster 684,1,accessory
685,Cluster 685,1,accessory
686,Cluster 686,1,accessory
687,Cluster 687,1,accessory
688,Cluster 688,1,accessory
689,Cluster 689,1,accessory
690,Cluster 690,1,accessory
691,Cluster 691,1,accessory
692,Cluster 692,1,accessory
693,Cluster 693,1,accessory
694,Cluster 694,1,accessory
695,Cluster 695,1,accessory
696,Cluster 696,1,accessory
697,Cluster 697,1,accessory
698,Cluster 698,1,accessory
699,Cluster 699,1,accessory
700,Cluster 700,1,accessory
701,Cluster 701,1,accessory
702,Cluster 702,1,accessory
703,Cluster 703,1,accessory
704,Cluster 704,1,accessory
705,Cluster 705,1,accessory
706,Cluster 706,1,accessory
707,Cluster 707,1,accessory
708,Cluster 708,1,accessory
709,Cluster 709,1,accessory
710,Cluster 710,1,accessory
711,Cluster 711,1,accessory
712,Cluster 712,1,accessory
713,Cluster 713,1,accessory
714,Cluster 714,1,accessory
715,Cluster 715,1,accessory
716,Cluster 716,1,accessory
717,Cluster 717,1,accessory
718,Cluster 718,1,accessory
719,Cluster 719,1,accessory
720,Cluster 720,1,accessory
721,Cluster 721,1,accessory
722,Cluster 722,1,accessory
723,Cluster 723,1,accessory
724,Cluster 724,1,accessory
725,Cluster 725,1,accessory
726,Cluster 726,1,accessory
727,Cluster 727,1,accessory
728,Cluster 728,1,accessory
729,Cluster 729,1,accessory
730,Cluster 730,1,accessory
731,Cluster 731,1,accessory
732,Cluster 732,1,accessory
733,Cluster 733,1,accessory
734,Cluster 734,1,accessory
735,Cluster 735,1,accessory
736,Cluster 736,1,accessory
737,Cluster 737,1,accessory
738,Cluster 738,1,accessory
739,Cluster 739,1,accessory
740,Cluster 740,1,accessory
741,Cluster 741,1,accessory
742,Cluster 742,1,accessory
743,Cluster 743,1,accessory
744,Cluster 744,1,accessory
745,Cluster 745,1,accessory
746,Cluster 746,1,accessory
747,Cluster 747,1,accessory
748,Cluster 748,1,accessory
749,Cluster 749,1,accessory
750,Cluster 750,1,accessory
751,Cluster 751,1,accessory
752,Cluster 752,1,accessory
753,Cluster 753,1,accessory
754,Cluster 754,1,accessory
755,Cluster 755,1,accessory
756,Cluster 756,1,accessory
757,Cluster 757,1,accessory
758,Cluster 758,1,accessory
759,Cluster 759,1,accessory
760,Cluster 760,1,accessory
761,Cluster 761,1,accessory
762,Cluster 762,1,accessory
763,Cluster 763,1,accessory
764,Cluster 764,1,accessory
765,Cluster 765,1,accessory
766,Cluster 766,1,accessory
767,Cluster 767,1,accessory
768,Cluster 768,1,accessory
769,Cluster 769,1,accessory
770,Cluster 770,1,accessory
771,Cluster 771,1,accessory
772,Cluster 772,1,accessory
773,Cluster 773,1,accessory
774,Cluster 774,1,accessory
775,Cluster 775,1,accessory
776,Cluster 776,1,accessory
777,Cluster 777,1,accessory
778,Cluster 778,1,accessory
779,Cluster 779,1,accessory
780,Cluster 780,1,accessory
781,Cluster 781,1,accessory
782,Cluster 782,1,accessory
783,Cluster 783,1,accessory
784,Cluster 784,1,accessory
785,Cluster 785,1,accessory
786,Cluster 786,1,accessory
787,Cluster 787,1,accessory
788,Cluster 788,1,accessory
789,Cluster 789,1,accessory
790,Cluster 790,1,accessory
791,Cluster 791,1,accessory
792,Cluster 792,1,accessory
793,Cluster 793,1,accessory
794,Cluster 794,1,accessory
795,Cluster 795,1,accessory
796,Cluster 796,1,accessory
797,Cluster 797,1,accessory
798,Cluster 798,1,accessory
799,Cluster 799,1,accessory
800,Cluster 800,1,accessory
801,Cluster 801,1,accessory
802,Cluster 802,1,accessory
803,Cluster 803,1,accessory
804,Cluster 804,1,accessory
805,Cluster 805,1,accessory
806,Cluster 806,1,accessory
807,Cluster 807,1,accessory
808,Cluster 808,1,accessory
809,Cluster 809,1,accessory
810,Cluster 810,1,accessory
811,Cluster 811,1,accessory
812,Cluster 812,1,accessory
813,Cluster 813,1,accessory
814,Cluster 814,1,accessory
815,Cluster 815,1,accessory
816,Cluster 816,1,accessory
817,Cluster 817,2,accessory
818,Cluster 818,1,accessory
819,Cluster 819,1,accessory
820,Cluster 820,1,accessory
821,Cluster 821,1,accessory
822,Cluster 822,1,accessory
823,Cluster 823,1,accessory
824,Cluster 824,1,accessory
825,Cluster 825,1,accessory
826,Cluster 826,1,accessory
827,Cluster 827,1,accessory
828,Cluster 828,1,accessory
829,Cluster 829,1,accessory
830,Cluster 830,1,accessory
831,Cluster 831,1,accessory
832,Cluster 832,1,accessory
833,Cluster 833,1,accessory
834,Cluster 834,1,accessory
835,Cluster 835,1,accessory
836,Cluster 836,1,accessory
837,Cluster 837,1,accessory
838,Cluster 838,1,accessory
839,Cluster 839,1,accessory
840,Cluster 840,1,accessory
841,Cluster 841,1,accessory
842,Cluster 842,1,accessory
843,Cluster 843,1,accessory
844,Cluster 844,1,accessory
845,Cluster 845,1,accessory
846,Cluster 846,1,accessory
847,Cluster 847,1,accessory
848,Cluster 848,2,accessory
849,Cluster 849,1,accessory
850,Cluster 850,1,accessory
851,Cluster 851,1,accessory
852,Cluster 852,1,accessory
853,Cluster 853,1,accessory
854,Cluster 854,1,accessory
855,Cluster 855,1,accessory
856,Cluster 856,1,accessory
