, ,Number of genomes
441,Cluster 441,1
442,Cluster 442,1
443,Cluster 443,1
444,Cluster 444,1
445,Cluster 445,1
446,Cluster 446,1
447,Cluster 447,1
448,Cluster 448,1
449,Cluster 449,1
450,Cluster 450,1
451,Cluster 451,1
452,Cluster 452,1
453,Cluster 453,1
454,Cluster 454,1
455,Cluster 455,1
456,Cluster 456,1
457,Cluster 457,1
458,Cluster 458,1
459,Cluster 459,1
460,Cluster 460,1
461,Cluster 461,1
462,Cluster 462,1
463,Cluster 463,1
464,Cluster 464,1
465,Cluster 465,1
466,Cluster 466,1
467,Cluster 467,1
468,Cluster 468,1
469,Cluster 469,1
470,Cluster 470,1
471,Cluster 471,1
472,Cluster 472,1
473,Cluster 473,1
474,Cluster 474,1
475,Cluster 475,1
476,Cluster 476,1
477,Cluster 477,1
478,Cluster 478,1
479,Cluster 479,1
480,Cluster 480,1
481,Cluster 481,1
482,Cluster 482,1
483,Cluster 483,1
484,Cluster 484,1
485,Cluster 485,1
486,Cluster 486,1
487,Cluster 487,1
488,Cluster 488,1
489,Cluster 489,1
490,Cluster 490,1
491,Cluster 491,1
492,Cluster 492,1
493,Cluster 493,1
494,Cluster 494,1
495,Cluster 495,1
496,Cluster 496,1
497,Cluster 497,1
498,Cluster 498,1
499,Cluster 499,1
500,Cluster 500,1
501,Cluster 501,1
502,Cluster 502,1
503,Cluster 503,1
504,Cluster 504,1
505,Cluster 505,1
506,Cluster 506,1
507,Cluster 507,1
508,Cluster 508,1
509,Cluster 509,1
510,Cluster 510,1
511,Cluster 511,1
512,Cluster 512,1
513,Cluster 513,1
514,Cluster 514,1
515,Cluster 515,1
516,Cluster 516,1
517,Cluster 517,1
518,Cluster 518,1
519,Cluster 519,1
520,Cluster 520,1
521,Cluster 521,1
522,Cluster 522,1
523,Cluster 523,1
524,Cluster 524,1
525,Cluster 525,1
526,Cluster 526,1
527,Cluster 527,1
528,Cluster 528,1
529,Cluster 529,1
530,Cluster 530,1
531,Cluster 531,1
532,Cluster 532,1
533,Cluster 533,1
534,Cluster 534,1
535,Cluster 535,1
536,Cluster 536,2
537,Cluster 537,1
538,Cluster 538,1
539,Cluster 539,1
540,Cluster 540,1
541,Cluster 541,1
542,Cluster 542,1
543,Cluster 543,1
544,Cluster 544,1
545,Cluster 545,1
